Date,Total_KW,DNI(KWH),Energy_conversion
2022-03-12,169.89557105368002,11.778942435059701,0.8625306836056867
2022-03-13,164.9430113511,11.670484421576809,0.8451695296470862
2022-03-14,162.415311272,11.735542599431854,0.8276040169147119
2022-03-15,159.78815022263,11.675701875492587,0.818390100327616
2022-03-16,163.48711015868687,11.666058996404935,0.8380272566671783
2022-03-17,472.5865151816,11.712738602125057,2.4128019189194894
2022-03-18,579.2623053898,11.876487990727936,2.9166615055754797
2022-03-19,170.509407950052,11.573288916999667,0.881029289798518
2022-03-20,538.4666986610999,11.564356559658611,2.784429147708778
2022-03-21,1191.3422128340999,11.628533921130739,6.126470712505175
2022-03-22,774.4180684403999,11.52198268179571,4.01926882438402
2022-03-23,30.1014847367,11.607891352752413,0.1550719964745328
2022-03-24,52.16813588973581,11.68835440307002,0.2669013327813951
2022-03-25,527.6220644356,11.637783450924912,2.711137052202046
2022-03-26,695.43423014,11.574638505827679,3.592918967998294
2022-03-27,642.5991708209,11.527168959247403,3.3336215684214134
2022-03-28,803.5191947582399,11.6746594368142,4.115767473183365
2022-03-29,41.85189360187,11.633706141097727,0.21512744451559415
2022-03-30,20.737617656479998,11.653141513346622,0.10641788859014975
2022-03-31,81.8496161718,11.761695472828462,0.4161457961728615
2022-04-01,182.56157531593482,11.815105111573112,0.9239970407903948
2022-04-02,437.2805982661,11.698554300275054,2.235253629151442
2022-04-03,626.4882590626601,11.704415229111568,3.2008255951062714
2022-04-04,96.9155046664,11.73785744594338,0.49374558605833874
2022-04-05,58.34578200499,11.808608105171558,0.2954673864185753
2022-04-06,80.840837288719,11.863229525904561,0.4074991106683187
2022-04-07,82.88825462805,11.876028100557315,0.4173693698760932
2022-04-08,592.7584737678001,12.044765083186329,2.9429184819557794
2022-04-09,968.7207451225,11.842810335367261,4.891506349200376
2022-04-10,514.69745032696,11.959137800381818,2.5736586332761533
2022-04-11,705.1086977179,12.113596478233621,3.4808215950003056
2022-04-12,66.732936542921,12.023280409222899,0.3319067277066432
2022-04-13,31.7101348746,12.082301534081108,0.1569449024878435
2022-04-14,199.70162598814,12.2097864051332,0.9780753861154013
2022-04-15,285.34847790096,12.233497428300675,1.3948378399462735
2022-04-16,212.06907649305,12.16604226333578,1.0423817993273676
2022-04-17,81.480903844133,12.094228584736507,0.4028806977492256
2022-04-18,159.9536244522348,12.117258092675142,0.7893843690238829
2022-04-19,165.6419520206,12.10284428946823,0.8184302808979387
2022-04-20,22.08931216385,12.057978626419885,0.10954851083988144
2022-04-21,209.8342738296,12.21559222024283,1.0272134444782208
2022-04-22,27.861877847828,12.324323459077581,0.1351904741149656
2022-04-23,134.57393453447108,11.943657441198576,0.6737866573666695
2022-04-24,204.2261429594,12.041559258165096,1.0142088676001009
2022-04-25,77.42380624291,11.86127308699953,0.3903390567620259
2022-04-26,218.16281393619,11.984009311505448,1.088622695536811
2022-04-27,165.3903055917,11.867355410456454,0.8334026862545041
2022-04-28,236.96734879193582,11.907360702873934,1.1900680489342383
2022-04-29,87.3063767288,11.930700840914795,0.4376015024673563
2022-04-30,90.3788817257,11.714925931975761,0.4613454180699751
2022-05-01,330.69760668566505,11.7054340078864,1.6894382643680326
2022-05-02,902.3527795966099,11.685612680861382,4.617678243440016
2022-05-03,640.498757100597,11.747620204325763,3.2603722583429717
2022-05-04,200.2005932816,11.721707129923557,1.0213469335080354
2022-05-05,410.149494714437,11.692045758780841,2.0977342539116037
2022-05-06,630.4427890535005,11.716501630431004,3.2177071811254976
2022-05-07,220.43364387940005,11.598587275504237,1.1365056011261798
2022-05-08,87.0062374482,11.61460426824161,0.4479657044738857
2022-05-09,266.4180215922,11.695124569709066,1.362252276309402
2022-05-10,164.160077615436,11.755551190903946,0.8350708945954275
2022-05-11,183.4810921867142,11.586046948970022,0.9470105735366102
2022-05-12,529.5631669113,11.930404809811863,2.6543695468643094
2022-05-13,726.25613726352,12.062149430479442,3.600509046446332
2022-05-14,199.1176254561,11.870298648846042,1.0031060603521968
2022-05-15,90.258987562324,12.018584629232828,0.44909262918372195
2022-05-16,234.5408451399,12.177744209057579,1.1517293481065602
2022-05-17,191.663121546993,12.253407264051193,0.9353636408120882
2022-05-18,376.9920391274,12.221830500211075,1.8445682050188361
2022-05-19,1025.8659350769,12.437972377827581,4.932190203405412
2022-05-20,742.1182195109826,12.62302459402286,3.5156728971621014
2022-05-21,239.9998988227,12.54046546992331,1.1444483499026492
2022-05-22,227.44202680419,12.467873030529748,1.0908804063303397
2022-05-23,141.12398415300999,12.862817213785801,0.6560901625720192
2022-05-24,87.02671424627,12.955002468084276,0.40171114608576564
2022-05-25,164.2015721832,12.897675828104795,0.7613154603838534
2022-05-26,183.9522810207,13.052950150231649,0.8427432708206712
2022-05-27,226.22940844532,13.195617382043057,1.025222528579587
2022-05-28,286.1065181441,13.148486467109455,1.30122016156755
2022-05-29,365.91395547944,13.094949509317747,1.670990344305078
2022-05-30,806.4591514460001,13.168525513905264,3.662216545245756
2022-05-31,512.21061794614,13.38111061723301,2.2890496435016594
2022-06-01,214.3084165928,13.254835244567204,0.9668602129062033
2022-06-02,243.09425832273,13.378325950765403,1.086605061644932
2022-06-03,282.89020484728,13.569029370578475,1.2467171192414854
2022-06-04,128.574205998227,13.375263241041035,0.5748444043537024
2022-06-05,175.28222501168,13.30914389408615,0.787565262582312
2022-06-06,149.9951069848,13.352047515668186,0.6717814667784914
2022-06-07,222.269578697707,13.42240056475871,0.9902586082074252
2022-06-08,596.44502197349,13.325308296171894,2.676652228344497
2022-06-09,910.2450941524,13.542106870380245,4.019489564906989
2022-06-10,142.120108208,13.541794371596575,0.6275930275250442
2022-06-11,94.93148755436,13.20863328370004,0.42978494527224664
2022-06-12,183.54827556226,13.2457866069971,0.8286504105486037
2022-06-13,418.10063939893996,13.259894370481614,1.885556553087724
2022-06-14,681.09379536154,13.361605397885098,3.048225399512962
2022-06-15,200.94955463560999,13.248788420194694,0.9070049950339439
2022-06-16,229.79814430237,13.387816225159234,1.0264447328805717
2022-06-17,582.133147838121,13.279411239004538,2.6214543816469615
2022-06-18,969.58191791779,13.182900019992685,4.3981733692748675
2022-06-19,230.89912837213,13.197152797770393,1.0462629436767976
2022-06-20,587.7581830566301,13.258020941668525,2.6510552509174072
2022-06-21,731.834290950589,13.26366561058542,3.299498885507502
2022-06-22,241.09189032652,13.25418631643445,1.0877480822012247
2022-06-23,222.32469495869,13.320974517951704,0.9980458725765924
2022-06-24,174.96236347640001,13.432729288075352,0.7788954550265464
2022-06-25,92.3224153088,13.200637191801572,0.41822602883288446
2022-06-26,593.06560412614,13.399368467961407,2.646776088987908
2022-06-27,1146.1539695093,13.378691363614548,5.123044440287574
2022-06-28,598.26744047575,13.401238956217718,2.6696185545420765
2022-06-29,233.43325836423,13.51902745070246,1.03256185589587
2022-06-30,241.5015301821,13.598886153450993,1.0619775702591854
2022-07-01,102.64934035162,13.691527107617963,0.44833543720839714
2022-07-02,205.50801347888,13.499756999761436,0.910335764935644
2022-07-03,297.57115622059,13.620105413190505,1.3064992326816285
2022-07-04,61.547945945496,13.808545737036892,0.2665412415342708
2022-07-05,270.7063807223,13.791210102729234,1.1738021835481305
2022-07-06,161.1287447269,13.716809906579567,0.7024553088757249
2022-07-07,131.842383241,13.980698894426219,0.5639296872514483
2022-07-08,100.52296353476,14.004083082328014,0.4292491070081886
2022-07-09,218.8541778269,13.810636347273736,0.947632500358242
2022-07-10,633.6341048296999,13.819259776152327,2.7419059834950974
2022-07-11,1171.92197066186,13.958124094520773,5.020771267542532
2022-07-12,687.7661040496,13.802413664503533,2.979782219026686
2022-07-13,313.8476063288,13.887330366028976,1.3514464724236899
2022-07-14,197.7571983462,14.039815250388795,0.842305629256088
2022-07-15,228.587268768,13.902904320247742,0.9832077654795814
2022-07-16,56.03161533805,13.944909800153956,0.24027922851687936
2022-07-17,582.7741876741,13.808038055917272,2.5238708503269676
2022-07-18,972.2751498005999,13.842737175280693,4.200161676287764
2022-07-19,867.2290063452,13.764584413298737,3.7676407650409462
2022-07-20,710.1439275098,13.70900703875187,3.0976987012984436
2022-07-21,305.3252464823,13.735910394161117,1.3292420229009045
2022-07-22,207.10284714996,13.788251620771673,0.8982054059093749
2022-07-23,199.61970963109002,13.673375931237818,0.8730245581931528
2022-07-24,191.13316929796,13.637312922419946,0.8381197033232093
2022-07-25,121.0626056954,13.574714166070157,0.5333080251080321
2022-07-26,182.503697555,13.582382436651605,0.8035159619127542
