Year,Month,Day,Hour,Minute,DNI,DNI(KWH)
2019,1,29,12,30,897,0.897
2019,1,29,13,30,865,0.865
2019,1,29,14,30,804,0.804
2019,1,29,15,30,637,0.637
2019,1,29,16,30,399,0.399
2019,1,29,17,30,0,0.0
2019,1,29,18,30,0,0.0
2019,1,29,19,30,0,0.0
2019,1,29,20,30,0,0.0
2019,1,29,21,30,0,0.0
2019,1,29,22,30,0,0.0
2019,1,29,23,30,0,0.0
2019,1,30,0,30,0,0.0
2019,1,30,1,30,0,0.0
2019,1,30,2,30,0,0.0
2019,1,30,3,30,0,0.0
2019,1,30,4,30,0,0.0
2019,1,30,5,30,0,0.0
2019,1,30,6,30,0,0.0
2019,1,30,7,30,65,0.065
2019,1,30,8,30,602,0.602
2019,1,30,9,30,913,0.913
2019,1,30,10,30,984,0.984
2019,1,30,11,30,1017,1.017
2019,1,30,12,30,1024,1.024
2019,1,30,13,30,1010,1.01
2019,1,30,14,30,944,0.944
2019,1,30,15,30,853,0.853
2019,1,30,16,30,334,0.334
2019,1,30,17,30,0,0.0
2019,1,30,18,30,0,0.0
2019,1,30,19,30,0,0.0
2019,1,30,20,30,0,0.0
2019,1,30,21,30,0,0.0
2019,1,30,22,30,0,0.0
2019,1,30,23,30,0,0.0
2019,1,31,0,30,0,0.0
2019,1,31,1,30,0,0.0
2019,1,31,2,30,0,0.0
2019,1,31,3,30,0,0.0
2019,1,31,4,30,0,0.0
2019,1,31,5,30,0,0.0
2019,1,31,6,30,0,0.0
2019,1,31,7,30,65,0.065
2019,1,31,8,30,576,0.576
2019,1,31,9,30,374,0.374
2019,1,31,10,30,753,0.753
2019,1,31,11,30,373,0.373
2019,1,31,12,30,509,0.509
2019,1,31,13,30,375,0.375
2019,1,31,14,30,341,0.341
2019,1,31,15,30,237,0.237
2019,1,31,16,30,125,0.125
2019,1,31,17,30,0,0.0
2019,1,31,18,30,0,0.0
2019,1,31,19,30,0,0.0
2019,1,31,20,30,0,0.0
2019,1,31,21,30,0,0.0
2019,1,31,22,30,0,0.0
2019,1,31,23,30,0,0.0
2019,2,1,0,30,0,0.0
2019,2,1,1,30,0,0.0
2019,2,1,2,30,0,0.0
2019,2,1,3,30,0,0.0
2019,2,1,4,30,0,0.0
2019,2,1,5,30,0,0.0
2019,2,1,6,30,0,0.0
2019,2,1,7,30,38,0.038
2019,2,1,8,30,365,0.365
2019,2,1,9,30,734,0.734
2019,2,1,10,30,821,0.821
2019,2,1,11,30,861,0.861
2019,2,1,12,30,710,0.71
2019,2,1,13,30,688,0.688
2019,2,1,14,30,803,0.803
2019,2,1,15,30,697,0.697
2019,2,1,16,30,466,0.466
2019,2,1,17,30,0,0.0
2019,2,1,18,30,0,0.0
2019,2,1,19,30,0,0.0
2019,2,1,20,30,0,0.0
2019,2,1,21,30,0,0.0
2019,2,1,22,30,0,0.0
2019,2,1,23,30,0,0.0
2019,2,2,0,30,0,0.0
2019,2,2,1,30,0,0.0
2019,2,2,2,30,0,0.0
2019,2,2,3,30,0,0.0
2019,2,2,4,30,0,0.0
2019,2,2,5,30,0,0.0
2019,2,2,6,30,0,0.0
2019,2,2,7,30,87,0.087
2019,2,2,8,30,105,0.105
2019,2,2,9,30,538,0.538
2019,2,2,10,30,819,0.819
2019,2,2,11,30,847,0.847
2019,2,2,12,30,798,0.798
2019,2,2,13,30,818,0.818
2019,2,2,14,30,764,0.764
2019,2,2,15,30,215,0.215
2019,2,2,16,30,174,0.174
2019,2,2,17,30,0,0.0
2019,2,2,18,30,0,0.0
2019,2,2,19,30,0,0.0
2019,2,2,20,30,0,0.0
2019,2,2,21,30,0,0.0
2019,2,2,22,30,0,0.0
2019,2,2,23,30,0,0.0
2019,2,3,0,30,0,0.0
2019,2,3,1,30,0,0.0
2019,2,3,2,30,0,0.0
2019,2,3,3,30,0,0.0
2019,2,3,4,30,0,0.0
2019,2,3,5,30,0,0.0
2019,2,3,6,30,0,0.0
2019,2,3,7,30,114,0.114
2019,2,3,8,30,292,0.292
2019,2,3,9,30,308,0.308
2019,2,3,10,30,11,0.011
2019,2,3,11,30,0,0.0
2019,2,3,12,30,0,0.0
2019,2,3,13,30,412,0.412
2019,2,3,14,30,25,0.025
2019,2,3,15,30,47,0.047
2019,2,3,16,30,39,0.039
2019,2,3,17,30,5,0.005
2019,2,3,18,30,0,0.0
2019,2,3,19,30,0,0.0
2019,2,3,20,30,0,0.0
2019,2,3,21,30,0,0.0
