Date,Hour,Minute,DNI,DNI(KWH)
2011-01-27,17,30,0,0.0
2011-01-27,18,30,0,0.0
2011-01-27,19,30,0,0.0
2011-01-27,20,30,0,0.0
2011-01-27,21,30,0,0.0
2011-01-27,22,30,0,0.0
2011-01-27,23,30,0,0.0
2011-01-28,0,30,0,0.0
2011-01-28,1,30,0,0.0
2011-01-28,2,30,0,0.0
2011-01-28,3,30,0,0.0
2011-01-28,4,30,0,0.0
2011-01-28,5,30,0,0.0
2011-01-28,6,30,0,0.0
2011-01-28,7,30,0,0.0
2011-01-28,8,30,0,0.0
2011-01-28,9,30,0,0.0
2011-01-28,10,30,0,0.0
2011-01-28,11,30,0,0.0
2011-01-28,12,30,26,0.026
2011-01-28,13,30,16,0.016
2011-01-28,14,30,23,0.023
2011-01-28,15,30,634,0.634
2011-01-28,16,30,378,0.378
2011-01-28,17,30,0,0.0
2011-01-28,18,30,0,0.0
2011-01-28,19,30,0,0.0
2011-01-28,20,30,0,0.0
2011-01-28,21,30,0,0.0
2011-01-28,22,30,0,0.0
2011-01-28,23,30,0,0.0
2011-01-29,0,30,0,0.0
2011-01-29,1,30,0,0.0
2011-01-29,2,30,0,0.0
2011-01-29,3,30,0,0.0
2011-01-29,4,30,0,0.0
2011-01-29,5,30,0,0.0
2011-01-29,6,30,0,0.0
2011-01-29,7,30,0,0.0
2011-01-29,8,30,0,0.0
2011-01-29,9,30,38,0.038
2011-01-29,10,30,60,0.06
2011-01-29,11,30,33,0.033
2011-01-29,12,30,10,0.01
2011-01-29,13,30,149,0.149
2011-01-29,14,30,0,0.0
2011-01-29,15,30,0,0.0
2011-01-29,16,30,22,0.022
2011-01-29,17,30,0,0.0
2011-01-29,18,30,0,0.0
2011-01-29,19,30,0,0.0
2011-01-29,20,30,0,0.0
2011-01-29,21,30,0,0.0
2011-01-29,22,30,0,0.0
2011-01-29,23,30,0,0.0
2011-01-30,0,30,0,0.0
2011-01-30,1,30,0,0.0
2011-01-30,2,30,0,0.0
2011-01-30,3,30,0,0.0
2011-01-30,4,30,0,0.0
2011-01-30,5,30,0,0.0
2011-01-30,6,30,0,0.0
2011-01-30,7,30,0,0.0
2011-01-30,8,30,0,0.0
2011-01-30,9,30,0,0.0
2011-01-30,10,30,0,0.0
2011-01-30,11,30,7,0.007
2011-01-30,12,30,10,0.01
2011-01-30,13,30,0,0.0
2011-01-30,14,30,0,0.0
2011-01-30,15,30,0,0.0
2011-01-30,16,30,250,0.25
2011-01-30,17,30,0,0.0
2011-01-30,18,30,0,0.0
2011-01-30,19,30,0,0.0
2011-01-30,20,30,0,0.0
2011-01-30,21,30,0,0.0
2011-01-30,22,30,0,0.0
2011-01-30,23,30,0,0.0
2011-01-31,0,30,0,0.0
2011-01-31,1,30,0,0.0
2011-01-31,2,30,0,0.0
2011-01-31,3,30,0,0.0
2011-01-31,4,30,0,0.0
2011-01-31,5,30,0,0.0
2011-01-31,6,30,0,0.0
2011-01-31,7,30,0,0.0
2011-01-31,8,30,0,0.0
2011-01-31,9,30,231,0.231
2011-01-31,10,30,0,0.0
2011-01-31,11,30,0,0.0
2011-01-31,12,30,0,0.0
2011-01-31,13,30,0,0.0
2011-01-31,14,30,4,0.004
2011-01-31,15,30,0,0.0
2011-01-31,16,30,0,0.0
2011-01-31,17,30,0,0.0
2011-01-31,18,30,0,0.0
2011-01-31,19,30,0,0.0
2011-01-31,20,30,0,0.0
2011-01-31,21,30,0,0.0
2011-01-31,22,30,0,0.0
2011-01-31,23,30,0,0.0
2011-02-01,0,30,0,0.0
2011-02-01,1,30,0,0.0
2011-02-01,2,30,0,0.0
2011-02-01,3,30,0,0.0
2011-02-01,4,30,0,0.0
2011-02-01,5,30,0,0.0
2011-02-01,6,30,0,0.0
2011-02-01,7,30,0,0.0
2011-02-01,8,30,0,0.0
2011-02-01,9,30,0,0.0
2011-02-01,10,30,0,0.0
2011-02-01,11,30,0,0.0
2011-02-01,12,30,0,0.0
2011-02-01,13,30,0,0.0
2011-02-01,14,30,0,0.0
2011-02-01,15,30,0,0.0
2011-02-01,16,30,0,0.0
2011-02-01,17,30,0,0.0
2011-02-01,18,30,0,0.0
2011-02-01,19,30,0,0.0
2011-02-01,20,30,0,0.0
2011-02-01,21,30,0,0.0
2011-02-01,22,30,0,0.0
2011-02-01,23,30,0,0.0
2011-02-02,0,30,0,0.0
2011-02-02,1,30,0,0.0
2011-02-02,2,30,0,0.0
2011-02-02,3,30,0,0.0
2011-02-02,4,30,0,0.0
2011-02-02,5,30,0,0.0
2011-02-02,6,30,0,0.0
2011-02-02,7,30,0,0.0
2011-02-02,8,30,0,0.0
2011-02-02,9,30,3,0.003
2011-02-02,10,30,24,0.024
2011-02-02,11,30,0,0.0
2011-02-02,12,30,0,0.0
2011-02-02,13,30,0,0.0
2011-02-02,14,30,0,0.0
2011-02-02,15,30,0,0.0
2011-02-02,16,30,0,0.0
2011-02-02,17,30,0,0.0
2011-02-02,18,30,0,0.0
2011-02-02,19,30,0,0.0
2011-02-02,20,30,0,0.0
2011-02-02,21,30,0,0.0
2011-02-02,22,30,0,0.0
2011-02-02,23,30,0,0.0
2011-02-03,0,30,0,0.0
2011-02-03,1,30,0,0.0
2011-02-03,2,30,0,0.0
2011-02-03,3,30,0,0.0
2011-02-03,4,30,0,0.0
2011-02-03,5,30,0,0.0
2011-02-03,6,30,0,0.0
2011-02-03,7,30,0,0.0
2011-02-03,8,30,740,0.74
2011-02-03,9,30,891,0.891
2011-02-03,10,30,958,0.958
2011-02-03,11,30,985,0.985
2011-02-03,12,30,987,0.987
2011-02-03,13,30,965,0.965
2011-02-03,14,30,917,0.917
2011-02-03,15,30,822,0.822
2011-02-03,16,30,608,0.608
2011-02-03,17,30,0,0.0
2011-02-03,18,30,0,0.0
2011-02-03,19,30,0,0.0
2011-02-03,20,30,0,0.0
2011-02-03,21,30,0,0.0
2011-02-03,22,30,0,0.0
2011-02-03,23,30,0,0.0
